Data_value,STATUS,UNITS,Magnitude,Subject,Group
3678.004,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
3653.195,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
3608.586,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
3375.935,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
3582.688,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
3559.337,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
3486.107,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
3389.888,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
3339.842,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
3381.765,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
2312.562,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
2335.73,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
2295.435,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
2340.767,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
2508.742,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
2701.321,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
2868.2,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
2955.281,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
2978.937,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
3021.465,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
3093.955,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
3121.729,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
